departure,departure_state_1789_fr,destination_state_1789_fr,homeport,year,destination_ferme_direction,tonnage,flag,tonnage_class,destination_ferme_bureau,departure_ferme_bureau,departure_action,destination_action,homeport_state_1789_fr,destination,departure_ferme_direction
Dunkerque,France,Suède,Göteborg,1787,,75,Swedish,[51-100],,Dunkerque,out,in,Suède,Gothembourg,Lille
Dunkerque,France,France,Saint Malo,1787,La Rochelle,79,French,[51-100],Marennes,Dunkerque,out,in,France,Marennes,Lille
Nantes,France,France,Nantes,1787,Lille,60,French,[51-100],Dunkerque,Nantes,out,in,France,Dunkerque,Nantes
Dunkerque,France,France,Workum,1787,Bordeaux,236,Dutch,[201-500],Bordeaux,Dunkerque,out,in,,Bordeaux,Lille
Dunkerque,France,France,Aber Ildut,1787,Lorient,56,French,[51-100],Brest,Dunkerque,out,in,France,Roscoff,Lille
Dunkerque,France,Suède,Göteborg,1787,,93,Swedish,[51-100],,Dunkerque,out,in,Suède,Gothembourg,Lille
Dunkerque,France,France,La Hougue,1787,La Rochelle,50,French,[21-50],Marennes,Dunkerque,out,in,France,Charente,Lille
Charente,France,France,Dunkerque,1787,Lille,90,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Charente,France,France,Cherbourg,1787,Lille,96,French,[51-100],Dunkerque,Marennes,out,in,France,Dunkerque,La Rochelle
Dunkerque,France,France,Dunkerque,1787,Rouen,30,French,[21-50],Dieppe,Dunkerque,out,in,France,Dieppe,Lille
Rouen,France,France,Dunkerque,1787,Lille,38,French,[21-50],Dunkerque,Rouen,out,in,France,Dunkerque,Rouen
Etaples,France,France,Dunkerque,1787,Lille,42,French,[21-50],Dunkerque,Boulogne-sur-Mer,out,in,France,Dunkerque,Amiens
Etaples,France,France,Dunkerque,1787,Lille,42,French,[21-50],Dunkerque,Boulogne-sur-Mer,out,in,France,Dunkerque,Amiens
Etaples,France,France,Dunkerque,1787,Lille,42,French,[21-50],Dunkerque,Boulogne-sur-Mer,out,in,France,Dunkerque,Amiens
Dunkerque,France,Danemark,Christiania,1787,,130,Danish/Norwegian,[101-200],,Dunkerque,out,in,Danemark,Christiania,Lille
Charente,France,France,Cognac,1787,Lille,85,French,[51-100],Dunkerque,Marennes,out,in,,Dunkerque,La Rochelle
Dunkerque,France,France,Saint Saverne [Saint Savinien],1787,La Rochelle,120,French,[101-200],Rochefort,Dunkerque,out,in,France,Rochefort,Lille
Dunkerque,France,Danemark,Nordahl,1787,,150,Danish,[101-200],,Dunkerque,out,in,Danemark,Mandal,Lille
